target_gamma,achieved_gamma,sigma,KDK,KMK,ceiling_over_sigma,|O|,per_edge_norm,per_edge_std_norm,cov_norm,cov_std_norm,hybrid_norm,hybrid_std_norm,Bmax_norm,Bmax_std_norm
0.3,0.3000000676246054,1.170575112672456,0.5140982905305512,0.35986876860569184,0.736489320069775,1,0.19999999999999998,0.1686684934121117,0.3287472142734817,0.2235172674119174,0.353073467252891,0.24785640972895873,0.353073467252891,0.24785640972895873
0.3,0.3000000676246054,1.170575112672456,0.5140982905305512,0.35986876860569184,0.736489320069775,2,0.39999999999999997,0.20657587227182986,0.5433747196082706,0.16686802834039444,0.5920272255670893,0.18582792178730836,0.5958701734404994,0.1889109502551783
0.3,0.3000000676246054,1.170575112672456,0.5140982905305512,0.35986876860569184,0.736489320069775,3,0.6,0.20657587227182986,0.6148580551727306,1.812989191109768e-15,0.6878368141109585,0.037555982710300154,0.7218737778508011,0.09071922722273913
0.3,0.3000000676246054,1.170575112672456,0.5140982905305512,0.35986876860569184,0.736489320069775,4,0.7999999999999999,0.1686684934121117,0.6148580551727308,9.244272649183756e-16,0.7121630670903679,0.030664331476340408,0.8265437267608117,0.12829574654552398
0.3,0.3000000676246054,1.170575112672456,0.5140982905305512,0.35986876860569184,0.736489320069775,5,1.0,0.0,0.6148580551727308,0.0,0.7364893200697774,0.0,1.0,0.0
0.4,0.39999999833859107,2.8966054924997575,1.1149008688245534,0.6689405231470383,0.6920807152839765,1,0.2,0.18506320415783012,0.25515681973699456,0.2075239121303632,0.30119717673950797,0.2537121749674403,0.30119717673950797,0.2537121749674403
0.4,0.39999999833859107,2.8966054924997575,1.1149008688245534,0.6689405231470383,0.6920807152839765,2,0.4,0.226655210175597,0.4163895453761795,0.13643372811053223,0.5084702593812064,0.17674837415279418,0.5239287781696551,0.19575562690448978
0.4,0.39999999833859107,2.8966054924997575,1.1149008688245534,0.6689405231470383,0.6920807152839765,3,0.5999999999999999,0.22665521017559698,0.46187893027140936,3.825168310102292e-16,0.6000000012789496,0.06523668381098084,0.6623315916557844,0.15586912357681418
0.4,0.39999999833859107,2.8966054924997575,1.1149008688245534,0.6689405231470383,0.6920807152839765,4,0.7999999999999998,0.18506320415783012,0.4618789302714093,2.4482229316673314e-16,0.6460403582814631,0.05326552928272882,0.8013910164318159,0.1832500028331758
0.4,0.39999999833859107,2.8966054924997575,1.1149008688245534,0.6689405231470383,0.6920807152839765,5,1.0,0.0,0.4618789302714096,0.0,0.6920807152839767,0.0,1.0,0.0
0.5,0.5000000240055332,1.439512192032211,0.5271323489497026,0.2635661618207582,0.6338118029318548,1,0.2,0.17826108586819034,0.18624034723906316,0.1368421061060451,0.23976507544423908,0.190969017455084,0.23976507544423908,0.190969017455084
0.5,0.5000000240055332,1.439512192032211,0.5271323489497026,0.2635661618207582,0.6338118029318548,2,0.3999999999999999,0.21832435068576178,0.3225163375896285,0.10409094561224476,0.4295657939999803,0.15553901785629226,0.4722295953080693,0.19028086606871436
0.5,0.5000000240055332,1.439512192032211,0.5271323489497026,0.2635661618207582,0.6338118029318548,3,0.6,0.21832435068576178,0.36618816190597464,4.883903436808568e-16,0.5267623465215024,0.07625336679498249,0.6334888659284442,0.17471670300898287
0.5,0.5000000240055332,1.439512192032211,0.5271323489497026,0.2635661618207582,0.6338118029318548,4,0.8000000000000002,0.17826108586819037,0.36618816190597464,2.0694795086737743e-16,0.5802870747266784,0.06226061327233101,0.8000000000000002,0.17826108586819037
0.5,0.5000000240055332,1.439512192032211,0.5271323489497026,0.2635661618207582,0.6338118029318548,5,1.0,0.0,0.36618816190597453,0.0,0.6338118029318541,0.0,1.0,0.0
